Bea Dasar,Htnb,Total,Harga Barang,Berat Kiriman,Jarak (KM)
10500.0,0.0,10500.0,120500.0,0.05,29.68507338875069
9000.0,0.0,9000.0,69000.0,0.1,123.70106993146236
9000.0,0.0,9000.0,27000.0,0.01,123.70106993146236
648000.0,3600.0,651600.0,1500000.0,17.5,203.73441379216487
540000.0,1200.0,541200.0,500000.0,14.5,203.73441379216487
216000.0,7200.0,223200.0,3000000.0,5.5,203.73441379216487
600000.0,12000.0,612000.0,5000000.0,10.2,1158.004038868069
1080000.0,12000.0,1092000.0,5000000.0,17.6,1158.004038868069
34000.0,720.0,34720.0,300000.0,1.0,1027.522420572668
34000.0,720.0,34720.0,300000.0,1.0,1027.522420572668
